pathway	name	entropy	category	subcategory
04962	Vasopressin-regulated water reabsorption	4.71023268628614	Organismal Systems	Excretory system
04964	Proximal tubule bicarbonate reclamation	4.26631091851317	Organismal Systems	Excretory system
04966	Collecting duct acid secretion	4.12045707053011	Organismal Systems	Excretory system
04970	Salivary secretion	3.85014527967743	Organismal Systems	Digestive system
04971	Gastric acid secretion	4.11047618172488	Organismal Systems	Digestive system
04972	Pancreatic secretion	3.42110687150192	Organismal Systems	Digestive system
04973	Carbohydrate digestion and absorption	3.86729277704472	Organismal Systems	Digestive system
04974	Protein digestion and absorption	3.39386232557832	Organismal Systems	Digestive system
04975	Fat digestion and absorption	3.03408473697063	Organismal Systems	Digestive system
04976	Bile secretion	3.25851333650014	Organismal Systems	Digestive system
04977	Vitamin digestion and absorption	3.67461160410382	Organismal Systems	Digestive system
04978	Mineral absorption	4.2067567120038	Organismal Systems	Digestive system
04979	Cholesterol metabolism	3.70608851794625	Organismal Systems	Digestive system
04980	Cobalamin transport and metabolism	4.83090400115914	Organismal Systems	Digestive system
04981	Folate transport and metabolism	4.06405813750419	Organismal Systems	Digestive system
05010	Alzheimer disease	4.85759230976167	Human Diseases	Neurodegenerative disease
05012	Parkinson disease	4.91854067504432	Human Diseases	Neurodegenerative disease
05014	Amyotrophic lateral sclerosis	4.8846494933839	Human Diseases	Neurodegenerative disease
05016	Huntington disease	4.91901475966227	Human Diseases	Neurodegenerative disease
05017	Spinocerebellar ataxia	4.81823464678505	Human Diseases	Neurodegenerative disease
05020	Prion disease	4.76111135683694	Human Diseases	Neurodegenerative disease
05022	Pathways of neurodegeneration - multiple diseases	4.82334994094784	Human Diseases	Neurodegenerative disease
05030	Cocaine addiction	4.34094923051818	Human Diseases	Substance dependence
05031	Amphetamine addiction	4.32708960155997	Human Diseases	Substance dependence
05032	Morphine addiction	4.39752321731452	Human Diseases	Substance dependence
05033	Nicotine addiction	3.78602103617779	Human Diseases	Substance dependence
05034	Alcoholism	4.52965956922915	Human Diseases	Substance dependence
05100	Bacterial invasion of epithelial cells	4.87324712451587	Human Diseases	Infectious disease: bacterial
05110	Vibrio cholerae infection	4.72011894093588	Human Diseases	Infectious disease: bacterial
05120	Epithelial cell signaling in Helicobacter pylori infection	4.76439845866902	Human Diseases	Infectious disease: bacterial
05130	Pathogenic Escherichia coli infection	4.65847593261548	Human Diseases	Infectious disease: bacterial
05131	Shigellosis	4.87436374512046	Human Diseases	Infectious disease: bacterial
05132	Salmonella infection	4.85654362378299	Human Diseases	Infectious disease: bacterial
05133	Pertussis	4.37344970009844	Human Diseases	Infectious disease: bacterial
05134	Legionellosis	4.68900519566712	Human Diseases	Infectious disease: bacterial
05135	Yersinia infection	4.9117307900394	Human Diseases	Infectious disease: bacterial
05140	Leishmaniasis	4.43068116129492	Human Diseases	Infectious disease: parasitic
05142	Chagas disease	4.72140637836619	Human Diseases	Infectious disease: parasitic
05143	African trypanosomiasis	3.76002720750442	Human Diseases	Infectious disease: parasitic
05144	Malaria	4.02231707340541	Human Diseases	Infectious disease: parasitic
05145	Toxoplasmosis	4.77196898653508	Human Diseases	Infectious disease: parasitic
05146	Amoebiasis	4.19820497919031	Human Diseases	Infectious disease: parasitic
05150	Staphylococcus aureus infection	3.05326326427258	Human Diseases	Infectious disease: bacterial
05152	Tuberculosis	4.60077078887088	Human Diseases	Infectious disease: bacterial
05160	Hepatitis C	4.74163541152351	Human Diseases	Infectious disease: viral
05161	Hepatitis B	4.85930592821238	Human Diseases	Infectious disease: viral
05162	Measles	4.75181620576475	Human Diseases	Infectious disease: viral
05163	Human cytomegalovirus infection	4.7282014529188	Human Diseases	Infectious disease: viral
05164	Influenza A	4.61080776918028	Human Diseases	Infectious disease: viral
05165	Human papillomavirus infection	4.72801818715503	Human Diseases	Infectious disease: viral
05166	Human T-cell leukemia virus 1 infection	4.71199947003576	Human Diseases	Infectious disease: viral
05167	Kaposi sarcoma-associated herpesvirus infection	4.78505534194514	Human Diseases	Infectious disease: viral
05168	Herpes simplex virus 1 infection	4.77784933631711	Human Diseases	Infectious disease: viral
05169	Epstein-Barr virus infection	4.75646044220056	Human Diseases	Infectious disease: viral
05170	Human immunodeficiency virus 1 infection	4.76030860852079	Human Diseases	Infectious disease: viral
05171	Coronavirus disease - COVID-19	4.56375336293297	Human Diseases	Infectious disease: viral
05200	Pathways in cancer	4.6729057873782	Human Diseases	Cancer: overview
05202	Transcriptional misregulation in cancer	4.33878566833905	Human Diseases	Cancer: overview
05203	Viral carcinogenesis	4.79917357240109	Human Diseases	Cancer: overview
05204	Chemical carcinogenesis - DNA adducts	3.34846063777754	Human Diseases	Cancer: overview
05205	Proteoglycans in cancer	4.75164821484142	Human Diseases	Cancer: overview
05206	MicroRNAs in cancer	4.48954546614848	Human Diseases	Cancer: overview
05207	Chemical carcinogenesis - receptor activation	4.30544370784448	Human Diseases	Cancer: overview
05208	Chemical carcinogenesis - reactive oxygen species	4.93618566179409	Human Diseases	Cancer: overview
05210	Colorectal cancer	5.02602235792861	Human Diseases	Cancer: specific types
05211	Renal cell carcinoma	5.1180796654941	Human Diseases	Cancer: specific types
05212	Pancreatic cancer	5.02696917406628	Human Diseases	Cancer: specific types
05213	Endometrial cancer	5.08431104057513	Human Diseases	Cancer: specific types
05214	Glioma	4.86631026840619	Human Diseases	Cancer: specific types
05215	Prostate cancer	4.71706135477399	Human Diseases	Cancer: specific types
05216	Thyroid cancer	4.9908273258691	Human Diseases	Cancer: specific types
05217	Basal cell carcinoma	4.78871036726826	Human Diseases	Cancer: specific types
05218	Melanoma	4.60723033001297	Human Diseases	Cancer: specific types
05219	Bladder cancer	4.66502127034772	Human Diseases	Cancer: specific types
05220	Chronic myeloid leukemia	5.1258726913251	Human Diseases	Cancer: specific types
05221	Acute myeloid leukemia	4.87109700150467	Human Diseases	Cancer: specific types
05222	Small cell lung cancer	4.85592313216494	Human Diseases	Cancer: specific types
05223	Non-small cell lung cancer	4.99303584227291	Human Diseases	Cancer: specific types
05224	Breast cancer	4.67585433815914	Human Diseases	Cancer: specific types
05225	Hepatocellular carcinoma	4.87570066242388	Human Diseases	Cancer: specific types
05226	Gastric cancer	4.60386763318486	Human Diseases	Cancer: specific types
05230	Central carbon metabolism in cancer	4.7305257833666	Human Diseases	Cancer: overview
05231	Choline metabolism in cancer	4.86609084235758	Human Diseases	Cancer: overview
05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	4.87309110102715	Human Diseases	Cancer: overview
05310	Asthma	3.9219008273125	Human Diseases	Immune disease
